学校名,所在地,設置,T_,B1_T,B1_M,B1_F,B1_U,B2_T,B2_M,B2_F,B2_U,B3_T,B3_M,B3_F,B3_U,R1_T,R1_M,R1_F,R1_U,R2_T,R2_M,R2_F,R2_U,R3_T,R3_M,R3_F,R3_U,設置_meta,共別,中高,year,B_M,B_F,R_M,R_F,卒数
山形東,山形,県,9,3,3,0,0,0,0,0,0,2,2,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,5,0,4,0,
山口,山口,県,6,0,0,0,0,0,0,0,0,3,3,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,共,―,1980,3,0,2,0,
時習館,愛知,県,5,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,1,共,―,1980,1,0,4,0,
修猷館,福岡,県,13,2,2,0,0,2,2,0,0,2,2,0,0,5,5,0,0,2,2,0,0,0,0,0,0,1,共,―,1980,6,0,7,0,
秋田,秋田,県,9,2,2,0,0,3,3,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,5,1,3,0,
渋川,群馬,県,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,1,0,0,0,
出雲,島根,県,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,共,―,1980,1,0,2,1,
春日部,埼玉,県,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,男,―,1980,0,0,2,0,
小倉,福岡,県,7,2,2,0,0,0,0,0,0,3,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,4,1,2,0,
松江北,島根,県,4,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,1,0,3,0,
松山,埼玉,県,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,1,0,0,0,
松山東,愛媛,県,10,2,2,0,0,0,0,0,0,2,0,2,0,3,3,0,0,3,3,0,0,0,0,0,0,1,共,―,1980,2,2,6,0,
松本深志,長野,県,17,1,1,0,0,1,1,0,0,5,5,0,0,7,7,0,0,2,2,0,0,1,1,0,0,1,共,―,1980,7,0,10,0,
沼津東,静岡,県,15,4,4,0,0,3,3,0,0,1,0,1,0,5,5,0,0,2,1,1,0,0,0,0,0,1,共,―,1980,7,1,6,1,
沼田,群馬,県,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,1,0,0,0,
湘南,神奈川,県,67,7,7,0,0,10,10,0,0,10,7,3,0,23,22,1,0,16,11,5,0,1,1,0,0,1,共,―,1980,24,3,34,6,
上田,長野,県,6,2,2,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,4,0,2,0,
新潟,新潟,県,7,2,2,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,2,0,5,0,
新居浜西,愛媛,県,10,1,0,1,0,1,1,0,0,0,0,0,0,7,7,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,1,1,8,0,
真岡,栃木,県,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,男,―,1980,1,0,1,0,
神戸,兵庫,県,6,0,0,0,0,2,1,1,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,1,2,3,0,
諏訪清陵,長野,県,11,2,2,0,0,1,1,0,0,3,3,0,0,3,3,0,0,2,2,0,0,0,0,0,0,1,共,―,1980,6,0,5,0,
水戸第一,茨城,県,18,2,1,1,0,5,3,2,0,2,1,1,0,6,6,0,0,3,3,0,0,0,0,0,0,1,共,―,1980,5,4,9,0,
清水東,静岡,県,9,1,1,0,0,0,0,0,0,3,2,1,0,2,2,0,0,2,1,1,0,1,1,0,0,1,共,―,1980,3,1,4,1,
盛岡第一,岩手,県,6,2,2,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,5,0,1,0,
青森,青森,県,4,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,3,0,1,0,
静岡,静岡,県,14,3,3,0,0,3,3,0,0,2,1,1,0,4,4,0,0,1,1,0,0,1,1,0,0,1,共,―,1980,7,1,6,0,
石巻,宮城,県,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,2,0,0,0,
仙台第一,宮城,県,7,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,1,0,0,1,男,―,1980,2,0,5,0,
仙台第二,宮城,県,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,男,―,1980,2,0,2,0,
千種,愛知,県,25,7,7,0,0,3,2,1,0,1,1,0,0,8,8,0,0,5,4,1,0,1,1,0,0,1,共,―,1980,10,1,13,1,
千葉,千葉,県,21,4,4,0,0,2,1,1,0,4,2,2,0,8,7,1,0,3,2,1,0,0,0,0,0,1,共,―,1980,7,3,9,2,
千葉女子,千葉,県,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,女,―,1980,0,1,0,0,
千葉南,千葉,県,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,1,共,―,1980,0,0,4,0,
川越,埼玉,県,6,0,0,0,0,0,0,0,0,2,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,2,0,4,0,
船橋,千葉,県,8,1,1,0,0,0,0,0,0,1,1,0,0,3,3,0,0,3,3,0,0,0,0,0,0,1,共,―,1980,2,0,6,0,
前橋,群馬,県,9,0,0,0,0,0,0,0,0,4,4,0,0,2,2,0,0,3,3,0,0,0,0,0,0,1,男,―,1980,4,0,5,0,
倉吉東,鳥取,県,4,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,1,0,3,0,
倉敷天城,岡山,県,5,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0,0,1,共,―,1980,1,0,3,1,
足利,栃木,県,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,0,0,1,0,
太田,群馬,県,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,1,0,0,0,
大田原,栃木,県,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,男,―,1980,0,0,2,0,
大分上野丘,大分,県,4,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,1,0,3,0,
大分雄城台,大分,県,11,3,3,0,0,2,2,0,0,0,0,0,0,5,5,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,5,0,6,0,
長崎西,長崎,県,6,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,2,1,0,1,1,0,0,1,共,―,1980,0,1,4,1,
長崎南,長崎,県,4,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,2,0,2,0,
長生,千葉,県,4,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,1,0,3,0,
長田,兵庫,県,4,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,2,0,2,0,
長野,長野,県,15,5,5,0,0,3,3,0,0,1,0,1,0,3,2,1,0,3,3,0,0,0,0,0,0,1,共,―,1980,8,1,5,1,
鳥取西,鳥取,県,8,1,1,0,0,1,1,0,0,1,0,1,0,4,4,0,0,1,0,1,0,0,0,0,0,1,共,―,1980,2,1,4,1,
津山,岡山,県,5,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,4,0,1,0,
鶴丸,鹿児島,県,26,3,3,0,0,2,2,0,0,5,2,2,1,13,9,4,0,3,3,0,0,0,0,0,0,1,共,―,1980,7,2,12,4,
土浦第一,茨城,県,5,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,2,0,3,0,
東葛飾,千葉,県,10,2,2,0,0,1,1,0,0,2,2,0,0,4,3,0,1,1,1,0,0,0,0,0,0,1,共,―,1980,5,0,4,0,
藤島,福井,県,10,4,4,0,0,0,0,0,0,1,1,0,0,4,4,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,5,0,5,0,
栃木,栃木,県,5,0,0,0,0,1,1,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,3,0,2,0,
韮山,静岡,県,6,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,1,1,0,0,0,0,0,1,共,―,1980,3,0,2,1,
白河,福島,県,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1980,1,0,0,0,
白河女子,福島,県,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,女,―,1980,0,1,0,0,
八戸,青森,県,5,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,共,―,1980,2,0,3,0,
磐城,福島,県,6,0,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,男,―,1980,4,0,2,0,
磐田南,静岡,県,4,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,1,0,3,0,
姫路西,兵庫,県,6,2,2,0,0,0,0,0,0,1,0,1,0,2,2,0,0,1,1,0,0,0,0,0,0,1,共,―,1980,2,1,3,0,
浜松北,静岡,県,15,3,1,1,1,0,0,0,0,5,3,2,0,5,5,0,0,2,2,0,0,0,0,0,0,1,共,―,1980,4,3,7,0,
富山,富山,県,15,2,1,1,0,3,2,1,0,2,1,1,0,5,5,0,0,2,2,0,0,1,0,1,0,1,共,―,1980,4,3,7,1,
富山中部,富山,県,21,4,3,1,0,2,2,0,0,0,0,0,0,10,9,0,1,5,5,0,0,0,0,0,0,1,共,―,1980,5,1,14,0,
福岡,福岡,県,5,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,共,―,1980,2,1,2,0,
福島,福島,県,9,3,3,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,0,1,男,―,1980,5,0,4,0,
福島女子,福島,県,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,女,―,1980,0,1,0,0,
平塚江南,神奈川,県,10,2,2,0,0,1,1,0,0,1,1,0,0,3,3,0,0,3,2,1,0,0,0,0,0,1,共,―,1980,4,0,5,1,
米子東,鳥取,県,5,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,共,―,1980,2,0,3,0,
豊橋南,愛知,県,6,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,2,2,0,0,1,1,0,0,1,共,―,1980,1,1,4,0,
明和,愛知,県,4,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1980,2,0,2,0,
お茶の水女子大附,東京,国,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,女,中,1980,0,1,0,2,
金沢大附,石川,国,25,4,3,1,0,4,4,0,0,1,1,0,0,10,9,0,1,4,4,0,0,2,1,1,0,1,共,中,1980,8,1,14,1,
広島大附,広島,国,20,6,6,0,0,3,3,0,0,2,0,2,0,6,5,1,0,3,1,2,0,0,0,0,0,1,共,中,1980,9,2,6,3,
広島大附福山,広島,国,13,3,3,0,0,1,1,0,0,2,2,0,0,5,4,1,0,2,1,1,0,0,0,0,0,1,共,中,1980,6,0,5,2,
大阪教育大附池田,大阪,国,7,3,2,1,0,0,0,0,0,2,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,共,中,1980,4,1,1,1,
大阪教育大附天王寺,大阪,国,10,6,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,中,1980,6,0,4,0,
筑波大附,東京,国,74,17,16,1,0,14,14,0,0,5,1,4,0,25,22,2,1,9,5,4,0,4,3,1,0,1,共,中,1980,31,5,30,7,
筑波大附駒場,東京,国,107,36,36,0,0,12,12,0,0,8,8,0,0,38,38,0,0,6,6,0,0,7,7,0,0,1,男,中,1980,56,0,51,0,
東京学芸大附,東京,国,98,19,17,2,0,10,9,1,0,21,6,15,0,27,23,4,0,19,8,10,1,2,1,1,0,1,共,中,1980,32,18,32,15,
徳島市立,徳島,市,6,2,1,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,共,―,1980,2,1,3,0,
ノートルダム清心,広島,私,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,女,中,1980,0,0,0,1,
フェリス女学院,神奈川,私,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,女,中,1980,0,0,0,2,
ラ・サール,鹿児島,私,104,43,43,0,0,10,10,0,0,4,4,0,0,27,27,0,0,9,9,0,0,11,11,0,0,1,男,中,1980,57,0,47,0,
愛光,愛媛,私,52,8,8,0,0,4,4,0,0,4,4,0,0,22,22,0,0,14,14,0,0,0,0,0,0,1,男,中,1980,16,0,36,0,
