学校名,所在地,設置,T_,B1_T,B1_M,B1_F,B1_U,B2_T,B2_M,B2_F,B2_U,B3_T,B3_M,B3_F,B3_U,R1_T,R1_M,R1_F,R1_U,R2_T,R2_M,R2_F,R2_U,R3_T,R3_M,R3_F,R3_U,設置_meta,共別,中高,year,B_M,B_F,R_M,R_F,卒数
海城,東京,私,6,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,1,1,0,0,0,0,0,0,1,男,中,1982,1,0,5,0,
開成,東京,私,134,46,46,0,0,22,22,0,0,7,7,0,0,44,44,0,0,13,13,0,0,2,2,0,0,1,男,中,1982,75,0,59,0,
学習院高等科,東京,私,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,男,中,1982,0,0,2,0,
学習院女子高等科,東京,私,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,女,中,1982,0,1,0,0,
鎌倉学園,神奈川,私,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,1,0,0,0,
久留米大学附設,福岡,私,46,8,8,0,0,9,9,0,0,10,10,0,0,15,15,0,0,4,4,0,0,0,0,0,0,1,男,中,1982,27,0,19,0,
京華,東京,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,―,1982,0,0,1,0,
暁星,東京,私,12,0,0,0,0,5,5,0,0,2,2,0,0,2,2,0,0,3,3,0,0,0,0,0,0,1,男,中,1982,7,0,5,0,
桐蔭学園,神奈川,私,26,2,2,0,0,4,4,0,0,1,1,0,0,11,10,1,0,7,7,0,0,1,0,1,0,1,併[男],中,1982,7,0,17,2,
桐朋,東京,私,43,4,4,0,0,8,8,0,0,3,3,0,0,18,18,0,0,9,9,0,0,1,1,0,0,1,男,中,1982,15,0,28,0,
駒場東邦,東京,私,42,6,6,0,0,6,6,0,0,2,2,0,0,18,18,0,0,10,10,0,0,0,0,0,0,1,男,中,1982,14,0,28,0,
熊本マリスト学園,熊本,私,3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,男,中,1982,1,0,2,0,
慶應義塾,神奈川,私,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,1,0,0,0,
慶應義塾志木,埼玉,私,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,男,―,1982,0,0,1,0,
佼成学園,東京,私,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,1,0,1,0,
広島学院,広島,私,37,7,7,0,0,5,5,0,0,1,1,0,0,18,18,0,0,6,6,0,0,0,0,0,0,1,男,中,1982,13,0,24,0,
攻玉社,東京,私,4,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,男,中,1982,2,0,2,0,
甲陽学院,兵庫,私,24,9,9,0,0,2,2,0,0,2,2,0,0,10,10,0,0,1,1,0,0,0,0,0,0,1,男,中,1982,13,0,11,0,
高槻,大阪,私,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,男,中,1982,1,0,1,0,
高田,三重,私,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,中,1982,2,0,2,0,
桜蔭,東京,私,20,5,0,5,0,1,0,1,0,5,0,5,0,2,0,2,0,6,0,6,0,1,0,1,0,0,女,中,1982,0,11,0,9,
芝,東京,私,4,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,男,中,1982,1,0,3,0,
修道,広島,私,12,0,0,0,0,1,1,0,0,2,2,0,0,7,7,0,0,2,2,0,0,0,0,0,0,1,男,中,1982,3,0,9,0,
淳心学院,兵庫,私,10,0,0,0,0,3,3,0,0,1,1,0,0,5,5,0,0,1,1,0,0,0,0,0,0,1,男,中,1982,4,0,6,0,
女子学院,東京,私,8,2,0,2,0,0,0,0,0,4,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,女,中,1982,0,6,0,2,
常葉学園橘,静岡,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,0,0,1,0,
成城,東京,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,0,0,1,0,
清真学園,茨城,私,4,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,共,―,1982,1,0,1,2,
清泉女学院,神奈川,私,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,女,中,1982,0,0,0,1,
聖光学院,神奈川,私,10,3,3,0,0,0,0,0,0,1,1,0,0,5,5,0,0,1,1,0,0,0,0,0,0,1,男,中,1982,4,0,6,0,
聖心女子学院高等科,東京,私,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,女,中,1982,0,1,0,0,
青雲,長崎,私,7,1,1,0,0,0,0,0,0,1,1,0,0,3,3,0,0,2,2,0,0,0,0,0,0,1,男,中,1982,2,0,5,0,
浅野,神奈川,私,4,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,2,0,2,0,
創価,東京,私,7,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,1,男,中,1982,3,0,4,0,
早稲田,東京,私,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,0,0,0,0,1,男,中,1982,0,0,5,0,
早稲田大学高等学院,東京,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,0,0,1,0,
巣鴨,東京,私,10,2,2,0,0,4,4,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,1,男,中,1982,6,0,4,0,
大阪星光学院,大阪,私,14,2,2,0,0,2,2,0,0,2,2,0,0,4,4,0,0,3,3,0,0,1,1,0,0,1,男,中,1982,6,0,8,0,
滝,愛知,私,14,1,1,0,0,3,3,0,0,3,3,0,0,6,6,0,0,1,1,0,0,0,0,0,0,1,共,中,1982,7,0,7,0,
土佐,高知,私,8,1,1,0,0,1,1,0,0,2,2,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,中,1982,4,0,4,0,
東海,愛知,私,33,7,7,0,0,7,7,0,0,2,2,0,0,9,9,0,0,4,4,0,0,4,4,0,0,1,男,中,1982,16,0,17,0,
東山,京都,私,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,1,0,0,0,
東大寺学園,奈良,私,23,6,6,0,0,4,4,0,0,4,4,0,0,6,6,0,0,3,3,0,0,0,0,0,0,1,男,中,1982,14,0,9,0,
灘,兵庫,私,121,52,52,0,0,7,7,0,0,2,2,0,0,37,37,0,0,8,8,0,0,15,15,0,0,1,男,中,1982,61,0,60,0,
日向学院,宮崎,私,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,1,0,0,0,
白陵,兵庫,私,6,1,1,0,0,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,共,中,1982,2,0,4,0,
函館ラ・サール,北海道,私,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,男,―,1982,1,0,1,0,
不二聖心女子学院,静岡,私,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,女,中,1982,0,0,0,1,
武蔵,東京,私,60,7,7,0,0,7,7,0,0,9,9,0,0,27,27,0,0,9,9,0,0,1,1,0,0,1,男,中,1982,23,0,37,0,
麻布,東京,私,115,26,26,0,0,17,17,0,0,11,11,0,0,42,42,0,0,13,13,0,0,6,6,0,0,1,男,中,1982,54,0,61,0,
明星,大阪,私,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,0,0,1,0,
洛星,京都,私,15,7,7,0,0,2,2,0,0,0,0,0,0,4,4,0,0,2,2,0,0,0,0,0,0,1,男,中,1982,9,0,6,0,
洛南,京都,私,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,男,―,1982,2,0,2,0,
立命館,京都,私,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,1,0,1,0,
六甲,兵庫,私,7,3,3,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,男,中,1982,4,0,3,0,
雙葉,東京,私,8,1,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,女,中,1982,0,5,0,3,
九段,東京,都,5,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1982,3,0,2,0,
戸山,東京,都,43,3,2,0,1,8,8,0,0,6,5,1,0,15,15,0,0,11,10,1,0,0,0,0,0,1,共,―,1982,15,1,25,1,
国立,東京,都,27,4,3,0,1,4,4,0,0,3,1,2,0,9,9,0,0,6,4,2,0,1,1,0,0,1,共,―,1982,8,2,14,2,
三田,東京,都,6,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,1,0,0,0,0,0,1,共,―,1982,1,0,4,1,
小松川,東京,都,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,共,―,1982,1,0,3,0,
小石川,東京,都,14,3,3,0,0,2,2,0,0,2,2,0,0,2,2,0,0,4,4,0,0,1,1,0,0,1,共,―,1982,7,0,7,0,
新宿,東京,都,4,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1982,2,0,2,0,
西,東京,都,30,4,4,0,0,6,5,1,0,6,6,0,0,11,11,0,0,3,3,0,0,0,0,0,0,1,共,―,1982,15,1,14,0,
青山,東京,都,32,6,5,1,0,4,2,2,0,7,5,2,0,10,10,0,0,5,3,2,0,0,0,0,0,1,共,―,1982,12,5,13,2,
竹早,東京,都,8,1,1,0,0,0,0,0,0,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,共,―,1982,3,0,5,0,
日比谷,東京,都,5,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,2,2,0,0,0,0,0,0,1,共,―,1982,1,0,4,0,
白鷗,東京,都,7,0,0,0,0,2,2,0,0,2,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,共,―,1982,4,0,3,0,
富士,東京,都,31,3,3,0,0,4,4,0,0,5,3,2,0,11,9,2,0,8,5,3,0,0,0,0,0,1,共,―,1982,10,2,14,5,
墨田川,東京,都,5,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,―,1982,1,0,4,0,
立川,東京,都,19,1,1,0,0,3,2,0,1,4,4,0,0,6,6,0,0,5,5,0,0,0,0,0,0,1,共,―,1982,7,0,11,0,
両国,東京,都,9,2,2,0,0,0,0,0,0,3,3,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,―,1982,5,0,4,0,
札幌南,北海道,道,12,3,3,0,0,3,3,0,0,1,1,0,0,3,3,0,0,2,2,0,0,0,0,0,0,1,共,―,1982,7,0,5,0,
札幌北,北海道,道,7,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,―,1982,3,0,4,0,
函館中部,北海道,道,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1982,2,0,2,0,
高津,大阪,府,4,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1982,2,0,2,0,
四條畷,大阪,府,5,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1982,2,0,3,0,
天王寺,大阪,府,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,1,0,0,0,0,0,0,1,共,―,1982,0,0,4,1,
北野,大阪,府,6,2,2,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,共,―,1982,4,1,1,0,
大検,―,―,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,―,―,1982,3,0,3,0,
旭丘,愛知,県,27,10,9,1,0,0,0,0,0,2,2,0,0,11,11,0,0,2,2,0,0,2,1,1,0,1,共,―,1983,11,1,14,1,
安積,福島,県,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,男,―,1983,1,0,3,0,
安積女子,福島,県,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,女,―,1983,0,0,0,1,
宇都宮,栃木,県,8,2,2,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,男,―,1983,5,0,3,0,
宇部,山口,県,7,1,1,0,0,0,0,0,0,1,1,0,0,3,3,0,0,1,0,1,0,1,1,0,0,1,共,―,1983,2,0,4,1,
浦和,埼玉,県,57,5,5,0,0,8,8,0,0,5,5,0,0,24,24,0,0,14,14,0,0,1,1,0,0,1,男,―,1983,18,0,39,0,
浦和第一女子,埼玉,県,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,女,―,1983,0,1,0,0,
横須賀,神奈川,県,9,2,2,0,0,3,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,5,0,4,0,
横浜翠嵐,神奈川,県,14,2,2,0,0,6,6,0,0,1,0,1,0,4,4,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,8,1,5,0,
横浜緑ケ丘,神奈川,県,9,1,0,1,0,1,1,0,0,2,1,1,0,2,2,0,0,3,3,0,0,0,0,0,0,1,共,―,1983,2,2,5,0,
岡崎,愛知,県,9,1,1,0,0,0,0,0,0,1,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,2,0,7,0,
岡崎北,愛知,県,7,1,1,0,0,3,2,1,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,共,―,1983,3,1,1,2,
岡山一宮,岡山,県,5,2,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,3,0,2,0,
岡山操山,岡山,県,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,0,0,4,0,
岡山大安寺,岡山,県,5,0,0,0,0,1,1,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,2,0,3,0,
岡山朝日,岡山,県,7,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,1,0,0,1,共,―,1983,2,0,5,0,
岡山芳泉,岡山,県,6,1,1,0,0,1,1,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,3,0,3,0,
下関西,山口,県,7,1,1,0,0,1,1,0,0,1,1,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,3,0,4,0,
加納,岐阜,県,13,8,8,0,0,3,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,11,0,2,0,
会津,福島,県,5,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,男,―,1983,2,0,3,0,
丸亀,香川,県,4,0,0,0,0,1,1,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,1,1,2,0,
岩国,山口,県,4,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,3,0,1,0,
岐阜,岐阜,県,15,2,2,0,0,1,1,0,0,2,2,0,0,5,5,0,0,3,3,0,0,2,2,0,0,1,共,―,1983,5,0,10,0,
希望ケ丘,神奈川,県,6,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,2,1,3,0,
宮崎西,宮崎,県,12,1,1,0,0,3,3,0,0,0,0,0,0,6,5,1,0,2,1,1,0,0,0,0,0,1,共,―,1983,4,0,6,2,
宮崎大宮,宮崎,県,5,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,2,1,1,0,0,0,0,0,1,共,―,1983,1,1,2,1,
桐蔭,和歌山,県,5,1,1,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,3,0,2,0,
桐生,群馬,県,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,男,―,1983,0,0,2,0,
錦江湾,鹿児島,県,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,0,0,5,0,
金沢泉丘,石川,県,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,0,0,6,0,
熊谷,埼玉,県,13,2,2,0,0,2,2,0,0,1,1,0,0,6,6,0,0,2,2,0,0,0,0,0,0,1,男,―,1983,5,0,8,0,
熊本,熊本,県,17,8,5,2,1,3,3,0,0,1,1,0,0,4,4,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,9,2,5,0,
古川,宮城,県,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,男,―,1983,0,0,1,0,
光陵,神奈川,県,18,5,5,0,0,1,1,0,0,2,2,0,0,6,6,0,0,4,2,1,1,0,0,0,0,1,共,―,1983,8,0,8,1,
厚木,神奈川,県,14,0,0,0,0,0,0,0,0,2,2,0,0,9,9,0,0,3,2,1,0,0,0,0,0,1,共,―,1983,2,0,11,1,
甲南,鹿児島,県,6,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,0,0,0,0,1,共,―,1983,1,0,5,0,
甲府南,山梨,県,6,2,2,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,1,共,―,1983,2,0,3,1,
高岡,富山,県,28,4,3,1,0,4,4,0,0,3,3,0,0,11,9,2,0,6,3,3,0,0,0,0,0,1,共,―,1983,10,1,12,5,
高崎,群馬,県,10,1,1,0,0,2,2,0,0,1,1,0,0,2,2,0,0,4,4,0,0,0,0,0,0,1,男,―,1983,4,0,6,0,
高志,福井,県,6,0,0,0,0,0,0,0,0,1,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,0,1,5,0,
高松,香川,県,14,2,2,0,0,2,2,0,0,2,1,0,1,3,3,0,0,5,5,0,0,0,0,0,0,1,共,―,1983,5,0,8,0,
今治西,愛媛,県,6,2,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,1,1,4,0,
山形東,山形,県,6,1,1,0,0,0,0,0,0,2,2,0,0,1,0,1,0,2,2,0,0,0,0,0,0,1,共,―,1983,3,0,2,1,
山口,山口,県,5,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,1,1,3,0,
四日市,三重,県,4,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,1,0,3,0,
四日市南,三重,県,6,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,1,0,5,0,
時習館,愛知,県,4,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,2,0,2,0,
修猷館,福岡,県,19,5,5,0,0,2,0,2,0,2,2,0,0,8,8,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,7,2,10,0,
秋田,秋田,県,6,0,0,0,0,2,2,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,3,0,3,0,
渋川,群馬,県,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,男,―,1983,0,0,2,0,
春日部,埼玉,県,4,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,―,1983,3,0,1,0,
小倉,福岡,県,10,3,3,0,0,2,2,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,共,―,1983,8,0,2,0,
小田原,神奈川,県,4,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,1,0,3,0,
松江北,島根,県,4,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,2,0,2,0,
松山,埼玉,県,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,男,―,1983,1,0,1,0,
松山東,愛媛,県,9,1,1,0,0,1,1,0,0,1,0,1,0,5,5,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,2,1,6,0,
松本深志,長野,県,11,1,1,0,0,0,0,0,0,3,3,0,0,5,5,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,4,0,7,0,
沼津東,静岡,県,8,3,3,0,0,1,1,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,6,0,2,0,
湘南,神奈川,県,58,8,6,2,0,9,9,0,0,3,1,2,0,17,16,0,1,20,15,5,0,1,0,0,1,1,共,―,1983,16,4,31,5,
新潟,新潟,県,9,1,1,0,0,1,1,0,0,1,0,1,0,5,5,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,2,1,6,0,
新居浜西,愛媛,県,9,2,2,0,0,0,0,0,0,1,0,1,0,3,3,0,0,3,3,0,0,0,0,0,0,1,共,―,1983,2,1,6,0,
神戸,兵庫,県,5,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,2,0,3,0,
諏訪清陵,長野,県,7,0,0,0,0,1,1,0,0,3,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,2,2,3,0,
水戸第一,茨城,県,12,4,3,1,0,0,0,0,0,2,1,1,0,3,3,0,0,3,3,0,0,0,0,0,0,1,共,―,1983,4,2,6,0,
清水東,静岡,県,6,1,1,0,0,1,1,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,2,0,4,0,
盛岡第一,岩手,県,6,2,2,0,0,1,1,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,4,1,1,0,
青森,青森,県,4,1,0,1,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,1,1,2,0,
静岡,静岡,県,9,1,1,0,0,2,2,0,0,1,1,0,0,4,4,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,4,0,5,0,
石巻,宮城,県,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1983,1,0,0,0,
仙台第一,宮城,県,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,男,―,1983,3,0,2,0,
仙台第二,宮城,県,14,2,2,0,0,1,1,0,0,4,4,0,0,4,4,0,0,3,3,0,0,0,0,0,0,1,男,―,1983,7,0,7,0,
千種,愛知,県,33,4,4,0,0,4,2,2,0,3,2,1,0,14,14,0,0,5,4,1,0,3,2,1,0,1,共,―,1983,8,3,20,2,
千葉,千葉,県,32,2,2,0,0,6,6,0,0,6,5,1,0,11,11,0,0,7,7,0,0,0,0,0,0,1,共,―,1983,13,1,18,0,
川越,埼玉,県,15,0,0,0,0,1,1,0,0,2,2,0,0,8,8,0,0,4,4,0,0,0,0,0,0,1,男,―,1983,3,0,12,0,
川越女子,埼玉,県,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,女,―,1983,0,0,0,2,
船橋,千葉,県,7,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0,1,1,0,0,1,共,―,1983,2,0,4,0,
前橋,群馬,県,7,1,1,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,0,1,男,―,1983,3,0,4,0,
前橋女子,群馬,県,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,女,―,1983,0,0,0,1,
相馬,福島,県,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1983,1,0,0,0,
足利,栃木,県,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,男,―,1983,1,0,3,0,
多摩,神奈川,県,4,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,2,1,1,0,
太田,群馬,県,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,男,―,1983,1,0,0,0,
大田原,栃木,県,4,2,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,男,―,1983,3,0,1,0,
大分舞鶴,大分,県,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,3,0,1,0,
大分雄城台,大分,県,4,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,2,0,2,0,
筑紫丘,福岡,県,4,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,共,―,1983,2,1,0,1,
長崎北陽台,長崎,県,4,2,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,共,―,1983,1,1,2,0,
長田,兵庫,県,4,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,2,0,2,0,
長野,長野,県,13,4,4,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,4,0,9,0,
津,三重,県,9,4,4,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,共,―,1983,6,0,3,0,
鶴丸,鹿児島,県,29,3,2,1,0,2,2,0,0,6,2,3,1,12,10,1,1,6,6,0,0,0,0,0,0,1,共,―,1983,6,4,16,1,
土浦第一,茨城,県,9,1,1,0,0,1,1,0,0,1,1,0,0,5,5,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,3,0,6,0,
東葛飾,千葉,県,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3,1,2,0,0,0,0,0,1,共,―,1983,0,0,1,2,
東筑,福岡,県,4,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,共,―,1983,3,0,1,0,
藤島,福井,県,10,1,1,0,0,1,1,0,0,0,0,0,0,7,6,1,0,1,1,0,0,0,0,0,0,1,共,―,1983,2,0,7,1,
