学校名,所在地,設置,T_1980,Z_1980,K_1980,B1,B1_T_Z_1980,B1_M_Z_1980,B1_F_Z_1980,B1_U_Z_1980,B1_T_K_1980,B1_M_K_1980,B1_F_K_1980,B1_U_K_1980,B2,B2_T_Z_1980,B2_M_Z_1980,B2_F_Z_1980,B2_U_Z_1980,B2_T_K_1980,B2_M_K_1980,B2_F_K_1980,B2_U_K_1980,B3,B3_T_Z_1980,B3_M_Z_1980,B3_F_Z_1980,B3_U_Z_1980,B3_T_K_1980,B3_M_K_1980,B3_F_K_1980,B3_U_K_1980,R1,R1_T_Z_1980,R1_M_Z_1980,R1_F_Z_1980,R1_U_Z_1980,R1_T_K_1980,R1_M_K_1980,R1_F_K_1980,R1_U_K_1980,R2,R2_T_Z_1980,R2_M_Z_1980,R2_F_Z_1980,R2_U_Z_1980,R2_T_K_1980,R2_M_K_1980,R2_F_K_1980,R2_U_K_1980,R3,R3_T_Z_1980,R3_M_Z_1980,R3_F_Z_1980,R3_U_Z_1980,R3_T_K_1980,R3_M_K_1980,R3_F_K_1980,R3_U_K_1980,設置_meta,共別,中高,合格者数,Year
門司,福岡,県,3,3,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,3,1980
東筑,福岡,県,3,3,,1,1,1,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,3,1980
大分舞鶴,大分,県,3,3,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,3,1980
甲南,鹿児島,県,3,3,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,3,3,3,,,,0,,,,0,0,,,,0,,,1,共,―,3,1980
加治木,鹿児島,県,3,3,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,3,1980
札幌西,北海道,道,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
岩見沢東,北海道,道,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
帯広柏葉,北海道,道,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
弘前,青森,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
水沢,岩手,県,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
釜石南,岩手,県,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
千葉東,千葉,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
長狭,千葉,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
市立銚子,千葉,市,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
市立千葉,千葉,市,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
東邦大付東邦,千葉,私,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,1,共,中,2,1980
東京大附,東京,国,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,中,2,1980
小山台,東京,都,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
小松川,東京,都,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
石神井,東京,都,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
竹早,東京,都,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
東京都立大附,東京,都,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
広尾,東京,都,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
柏陽,神奈川,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
多摩,神奈川,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
鎌倉,神奈川,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
長岡,新潟,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
柏崎,新潟,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
金沢泉丘,石川,県,2,2,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
武生,福井,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
都留,山梨,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
甲府東,山梨,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
須坂,長野,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
屋代,長野,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
大垣北,岐阜,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
斐太,岐阜,県,2,2,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
藤枝東,静岡,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
横須賀,愛知,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
西尾,愛知,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
菊里,愛知,市,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
津,三重,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
宇治山田,三重,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
上野,三重,県,2,2,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
膳所,滋賀,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
洛北,京都,府,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
城陽,京都,府,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
綾部,京都,府,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
大阪教育大附平野,大阪,国,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,中,2,1980
四條畷,大阪,府,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
高津,大阪,府,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
PL学園,大阪,私,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,中,2,1980
川西緑台,兵庫,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
関西学院高等部,兵庫,私,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,中,2,1980
奈良,奈良,県,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
橋本,和歌山,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
大社,島根,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
浜田,島根,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
玉野,岡山,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
総社,岡山,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
呉三津田,広島,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
岩国,山口,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
防府,山口,県,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
城東,徳島,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
城南,徳島,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
城北,徳島,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
西条,愛媛,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
宇和島東,愛媛,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
長崎東,長崎,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
長崎北,長崎,県,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
佐世保南,長崎,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
諫早,長崎,県,2,2,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
高田,大分,県,2,2,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
別府鶴見丘,大分,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
別府青山,大分,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
高鍋,宮崎,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,1,共,―,2,1980
都城西,宮崎,県,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1980
