学校名,所在地,設置,T_1980,Z_1980,K_1980,B1,B1_T_Z_1980,B1_M_Z_1980,B1_F_Z_1980,B1_U_Z_1980,B1_T_K_1980,B1_M_K_1980,B1_F_K_1980,B1_U_K_1980,B2,B2_T_Z_1980,B2_M_Z_1980,B2_F_Z_1980,B2_U_Z_1980,B2_T_K_1980,B2_M_K_1980,B2_F_K_1980,B2_U_K_1980,B3,B3_T_Z_1980,B3_M_Z_1980,B3_F_Z_1980,B3_U_Z_1980,B3_T_K_1980,B3_M_K_1980,B3_F_K_1980,B3_U_K_1980,R1,R1_T_Z_1980,R1_M_Z_1980,R1_F_Z_1980,R1_U_Z_1980,R1_T_K_1980,R1_M_K_1980,R1_F_K_1980,R1_U_K_1980,R2,R2_T_Z_1980,R2_M_Z_1980,R2_F_Z_1980,R2_U_Z_1980,R2_T_K_1980,R2_M_K_1980,R2_F_K_1980,R2_U_K_1980,R3,R3_T_Z_1980,R3_M_Z_1980,R3_F_Z_1980,R3_U_Z_1980,R3_T_K_1980,R3_M_K_1980,R3_F_K_1980,R3_U_K_1980,設置_meta,共別,中高,合格者数,Year
出雲,島根,県,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
倉敷古城池,岡山,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
広島観音,広島,県,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
岩国,山口,県,2,2,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
観音寺第一,香川,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
香川県大手前,香川,私,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,1,共,中,2,1985
西条,愛媛,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
今治西,愛媛,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
大洲,愛媛,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
宇和島東,愛媛,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
京都,福岡,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
門司,福岡,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
佐賀西,佐賀,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
武雄,佐賀,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
長崎北,長崎,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
佐世保西,長崎,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
長崎北陽台,長崎,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
済々黌,熊本,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
国東,大分,県,2,2,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
大分舞鶴,大分,県,2,2,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
宮崎南,宮崎,県,2,2,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
都城西,宮崎,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
延岡東,宮崎,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
甲南,鹿児島,県,2,2,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
加治木,鹿児島,県,2,2,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,2,2,2,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,2,1985
滝川,北海道,道,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
室蘭栄,北海道,道,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
五所川原,青森,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
米沢興譲館,山形,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
鶴岡南,山形,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
酒田東,山形,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
喜多方,福島,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
鉾田第一,茨城,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
茗溪学園,茨城,私,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,中,1,1985
新島学園,群馬,私,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,中,1,1985
不動岡,埼玉,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
大宮,埼玉,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
匝瑳,千葉,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
安房,千葉,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
木更津,千葉,県,1,1,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
東京学芸大附大泉,東京,国,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,中,1,1985
赤城台,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
足立,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
井草,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
江戸川,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
江北,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,共,―,1,1985
狛江,東京,都,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
駒場,東京,都,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
竹早,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
府中東,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
保谷,東京,都,1,1,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
目黒,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
小平西,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
調布南,東京,都,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
日野台,東京,都,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
桐朋女子,東京,私,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,中,1,1985
横浜平沼,神奈川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
港南台,神奈川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
生田,神奈川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
追浜,神奈川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
秦野,神奈川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
伊志田,神奈川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
座間,神奈川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
新発田,新潟,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
新津,新潟,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
三条,新潟,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
小千谷,新潟,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
魚津,富山,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
小松,石川,県,1,1,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
金沢二水,石川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
羽咋,石川,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
七尾,石川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
大野,福井,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
勝山,福井,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
若狭,福井,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
飯山北,長野,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
屋代,長野,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
伊那北,長野,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
岐阜北,岐阜,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
郡上,岐阜,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
加茂,岐阜,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
富士,静岡,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
榛原,静岡,県,1,1,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
静岡学園,静岡,私,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,中,1,1985
明和,愛知,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
中村,愛知,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
春日井,愛知,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
丹羽,愛知,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
安城東,愛知,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
豊田西,愛知,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
向陽,愛知,市,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
北,愛知,市,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,1,共,―,1,1985
阿久比,愛知,県,1,1,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
伊勢,三重,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
洛北,京都,府,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
乙訓,京都,府,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
福知山,京都,府,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
同志社,京都,私,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,中,1,1985
大阪教育大附平野,大阪,国,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,中,1,1985
桜塚,大阪,府,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
寝屋川,大阪,府,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
天王寺,大阪,府,1,1,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
富田林,大阪,府,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
PL学園,大阪,私,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,中,1,1985
御影,兵庫,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
川西明峰,兵庫,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
加古川東,兵庫,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
小野,兵庫,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
三原,兵庫,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
宝塚西,兵庫,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
明石清水,兵庫,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
関西学院高等部,兵庫,私,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,中,1,1985
奈良,奈良,県,1,1,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
北大和,奈良,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
向陽,和歌山,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
田辺,和歌山,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
新宮,和歌山,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
倉吉東,鳥取,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
米子北,鳥取,私,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
倉敷天城,岡山,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
津山,岡山,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
笠岡,岡山,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
高梁,岡山,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
呉宮原,広島,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
柳井,山口,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
光,山口,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
防府,山口,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
大津,山口,県,1,1,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
萩,山口,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
富岡西,徳島,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
津田,香川,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
八幡浜,愛媛,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
高知追手前,高知,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
福岡,福岡,県,1,1,,,0,0,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,1,1,,,,0,,,,0,0,,,,0,,,,0,0,,,,0,,,1,共,―,1,1985
